Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,Battery
2016-02-17 18:17:46 +0000,42.360688,-71.093793,6.740292,25.000000,48.515625,1.000000,0.940000
2016-02-17 18:17:47 +0000,42.360691,-71.093780,6.751400,25.000000,85.781250,1.160000,0.940000
2016-02-17 18:17:48 +0000,42.360688,-71.093764,6.956844,25.000000,116.367188,1.540000,0.940000
2016-02-17 18:17:49 +0000,42.360685,-71.093751,7.003445,25.000000,129.023438,1.160000,0.940000
2016-02-17 18:17:50 +0000,42.360685,-71.093745,7.278103,25.000000,126.210938,1.070000,0.940000
2016-02-17 18:17:51 +0000,42.360689,-71.093740,7.707485,25.000000,116.367188,0.790000,0.940000
2016-02-17 18:17:52 +0000,42.360690,-71.093732,7.976162,25.000000,123.046875,1.080000,0.940000
2016-02-17 18:17:53 +0000,42.360690,-71.093719,8.199154,25.000000,113.554688,1.290000,0.940000
2016-02-17 18:17:54 +0000,42.360689,-71.093705,8.105221,25.000000,119.531250,1.080000,0.940000
2016-02-17 18:17:55 +0000,42.360687,-71.093689,8.460903,25.000000,104.062500,1.050000,0.940000
2016-02-17 18:17:56 +0000,42.360687,-71.093674,8.498653,25.000000,92.460938,0.870000,0.940000
2016-02-17 18:17:57 +0000,42.360688,-71.093658,8.564724,25.000000,74.179688,0.950000,0.940000
2016-02-17 18:17:58 +0000,42.360685,-71.093641,8.347103,25.000000,75.937500,0.950000,0.940000
2016-02-17 18:17:59 +0000,42.360682,-71.093620,8.171566,25.000000,81.914062,0.950000,0.940000
2016-02-17 18:18:00 +0000,42.360680,-71.093602,8.314510,25.000000,92.109375,0.860000,0.940000
2016-02-17 18:18:01 +0000,42.360684,-71.093590,8.656948,25.000000,87.187500,0.840000,0.940000
2016-02-17 18:18:02 +0000,42.360683,-71.093571,8.663784,25.000000,84.375000,1.160000,0.940000
2016-02-17 18:18:03 +0000,42.360686,-71.093551,8.722561,25.000000,76.289062,1.220000,0.940000
2016-02-17 18:18:04 +0000,42.360690,-71.093531,8.781002,25.000000,76.992188,1.200000,0.940000
2016-02-17 18:18:05 +0000,42.360696,-71.093512,9.087246,25.000000,75.234375,1.220000,0.940000
2016-02-17 18:18:06 +0000,42.360704,-71.093496,9.208584,25.000000,74.179688,1.060000,0.940000
2016-02-17 18:18:07 +0000,42.360716,-71.093485,9.211422,25.000000,65.039062,1.150000,0.940000
2016-02-17 18:18:08 +0000,42.360735,-71.093479,9.247555,25.000000,51.328125,1.150000,0.940000
2016-02-17 18:18:09 +0000,42.360754,-71.093474,9.512295,25.000000,40.078125,1.150000,0.940000
2016-02-17 18:18:10 +0000,42.360773,-71.093475,9.620754,25.000000,30.937500,1.090000,0.940000
2016-02-17 18:18:11 +0000,42.360797,-71.093479,9.349361,25.000000,33.046875,1.320000,0.940000
2016-02-17 18:18:12 +0000,42.360825,-71.093484,9.475552,25.000000,31.289062,1.380000,0.940000
2016-02-17 18:18:13 +0000,42.360853,-71.093489,9.394344,25.000000,30.937500,1.380000,0.940000
2016-02-17 18:18:14 +0000,42.360882,-71.093494,9.484951,25.000000,22.851562,1.390000,0.940000
